unix_time, readable_time, sample_index, sequence, D0, D1, D2, D3, A1_(EMG), A2_(EDA), A3_(ECG), A4, A5, A6
1769151046.378024,2026-01-23 15:50:46.378,214,6,1,1,0,0,511,1020,513,2,0,0
1769151046.379024,2026-01-23 15:50:46.379,215,7,1,1,0,0,512,1020,512,2,0,0
1769151046.380024,2026-01-23 15:50:46.380,216,8,1,1,0,0,510,1020,511,2,0,0
1769151046.381024,2026-01-23 15:50:46.381,217,9,1,1,0,0,513,1020,510,2,0,0
1769151046.382024,2026-01-23 15:50:46.382,218,10,1,1,0,0,513,1020,510,2,0,0
1769151046.383024,2026-01-23 15:50:46.383,219,11,1,1,0,0,511,1020,510,2,0,0
1769151046.384024,2026-01-23 15:50:46.384,220,12,1,1,0,0,512,1020,510,2,0,0
1769151046.385024,2026-01-23 15:50:46.385,221,13,1,1,0,0,512,1020,511,2,0,0
1769151046.386024,2026-01-23 15:50:46.386,222,14,1,1,0,0,512,1020,512,2,0,0
1769151046.387024,2026-01-23 15:50:46.387,223,15,1,1,0,0,511,1020,512,2,0,0
1769151046.388024,2026-01-23 15:50:46.388,224,0,1,1,0,0,512,1020,513,2,0,0
1769151046.389024,2026-01-23 15:50:46.389,225,1,1,1,0,0,510,1020,513,2,0,0
1769151046.390024,2026-01-23 15:50:46.390,226,2,1,1,0,0,508,1020,513,2,0,0
1769151046.391024,2026-01-23 15:50:46.391,227,3,1,1,0,0,512,1020,513,2,0,0
1769151046.392024,2026-01-23 15:50:46.392,228,4,1,1,0,0,511,1020,513,2,0,0
1769151046.393024,2026-01-23 15:50:46.393,229,5,1,1,0,0,512,1020,513,2,0,0
1769151046.394024,2026-01-23 15:50:46.394,230,6,1,1,0,0,511,1020,512,2,0,0
1769151046.395024,2026-01-23 15:50:46.395,231,7,1,1,0,0,508,1020,511,2,0,0
1769151046.396024,2026-01-23 15:50:46.396,232,8,1,1,0,0,512,1020,510,2,0,0
1769151046.397024,2026-01-23 15:50:46.397,233,9,1,1,0,0,512,1020,510,2,0,0
1769151046.398024,2026-01-23 15:50:46.398,234,10,1,1,0,0,513,1020,509,2,0,0
1769151046.399024,2026-01-23 15:50:46.399,235,11,1,1,0,0,513,1020,509,2,0,0
1769151046.400024,2026-01-23 15:50:46.400,236,12,1,1,0,0,513,1020,509,2,0,0
1769151046.401024,2026-01-23 15:50:46.401,237,13,1,1,0,0,512,1020,510,2,0,0
1769151046.402024,2026-01-23 15:50:46.402,238,14,1,1,0,0,511,1020,511,2,0,0
1769151046.403024,2026-01-23 15:50:46.403,239,15,1,1,0,0,511,1020,511,2,0,0
1769151046.404024,2026-01-23 15:50:46.404,240,0,1,1,0,0,511,1020,513,2,0,0
1769151046.405024,2026-01-23 15:50:46.405,241,1,1,1,0,0,512,1020,513,2,0,0
1769151046.406024,2026-01-23 15:50:46.406,242,2,1,1,0,0,512,1020,513,2,0,0
1769151046.407024,2026-01-23 15:50:46.407,243,3,1,1,0,0,511,1020,512,2,0,0
1769151046.408024,2026-01-23 15:50:46.408,244,4,1,1,0,0,512,1020,512,2,0,0
1769151046.409024,2026-01-23 15:50:46.409,245,5,1,1,0,0,510,1020,512,2,0,0
1769151046.410024,2026-01-23 15:50:46.410,246,6,1,1,0,0,510,1020,511,2,0,0
1769151046.411024,2026-01-23 15:50:46.411,247,7,1,1,0,0,512,1020,510,2,0,0
1769151046.412024,2026-01-23 15:50:46.412,248,8,1,1,0,0,510,1020,510,2,0,0
1769151046.413024,2026-01-23 15:50:46.413,249,9,1,1,0,0,511,1020,509,2,0,0
1769151046.414024,2026-01-23 15:50:46.414,250,10,1,1,0,0,512,1020,508,2,0,0
1769151046.415024,2026-01-23 15:50:46.415,251,11,1,1,0,0,512,1020,508,2,0,0
1769151046.416024,2026-01-23 15:50:46.416,252,12,1,1,0,0,512,1020,508,2,0,0
1769151046.417024,2026-01-23 15:50:46.417,253,13,1,1,0,0,512,1020,508,2,0,0
1769151046.418024,2026-01-23 15:50:46.418,254,14,1,1,0,0,512,1020,509,2,0,0
1769151046.419024,2026-01-23 15:50:46.419,255,15,1,1,0,0,511,1020,510,2,0,0
1769151046.420024,2026-01-23 15:50:46.420,256,0,1,1,0,0,512,1020,511,2,0,0
1769151046.421024,2026-01-23 15:50:46.421,257,1,1,1,0,0,512,1020,512,2,0,0
1769151046.422024,2026-01-23 15:50:46.422,258,2,1,1,0,0,510,1020,512,2,0,0
1769151046.423024,2026-01-23 15:50:46.423,259,3,1,1,0,0,511,1020,512,2,0,0
1769151046.424024,2026-01-23 15:50:46.424,260,4,1,1,0,0,511,1020,512,2,0,0
1769151046.425024,2026-01-23 15:50:46.425,261,5,1,1,0,0,510,1020,512,2,0,0
1769151046.426024,2026-01-23 15:50:46.426,262,6,1,1,0,0,512,1020,511,2,0,0
1769151046.427024,2026-01-23 15:50:46.427,263,7,1,1,0,0,511,1020,510,2,0,0
1769151046.428024,2026-01-23 15:50:46.428,264,8,1,1,0,0,508,1020,510,2,0,0
1769151046.429024,2026-01-23 15:50:46.429,265,9,1,1,0,0,511,1020,509,2,0,0
1769151046.430024,2026-01-23 15:50:46.430,266,10,1,1,0,0,511,1020,508,2,0,0
1769151046.431024,2026-01-23 15:50:46.431,267,11,1,1,0,0,512,1020,508,2,0,0
1769151046.432024,2026-01-23 15:50:46.432,268,12,1,1,0,0,514,1020,507,2,0,0
1769151046.433024,2026-01-23 15:50:46.433,269,13,1,1,0,0,512,1020,508,2,0,0
1769151046.434024,2026-01-23 15:50:46.434,270,14,1,1,0,0,513,1020,508,2,0,0
1769151046.435024,2026-01-23 15:50:46.435,271,15,1,1,0,0,512,1020,508,2,0,0
1769151046.436024,2026-01-23 15:50:46.436,272,0,1,1,0,0,511,1020,508,2,0,0
1769151046.437024,2026-01-23 15:50:46.437,273,1,1,1,0,0,512,1020,509,2,0,0
1769151046.438024,2026-01-23 15:50:46.438,274,2,1,1,0,0,512,1020,510,2,0,0
1769151046.439024,2026-01-23 15:50:46.439,275,3,1,1,0,0,512,1020,510,2,0,0
1769151046.440024,2026-01-23 15:50:46.440,276,4,1,1,0,0,510,1020,510,2,0,0
1769151046.441024,2026-01-23 15:50:46.441,277,5,1,1,0,0,512,1020,510,2,0,0
1769151046.442024,2026-01-23 15:50:46.442,278,6,1,1,0,0,511,1020,509,2,0,0
1769151046.443024,2026-01-23 15:50:46.443,279,7,1,1,0,0,508,1020,509,2,0,0
1769151046.444024,2026-01-23 15:50:46.444,280,8,1,1,0,0,511,1020,508,2,0,0
1769151046.445024,2026-01-23 15:50:46.445,281,9,1,1,0,0,510,1020,508,2,0,0
1769151046.446024,2026-01-23 15:50:46.446,282,10,1,1,0,0,511,1020,507,2,0,0
1769151046.447024,2026-01-23 15:50:46.447,283,11,1,1,0,0,512,1020,506,2,0,0
